x 	 y 	 
-3.002004 	 2.728598 	 
-3.060953 	 2.453162 	 
-3.046921 	 2.480233 	 
-3.256981 	 2.680652 	 
-3.282355 	 2.723917 	 
-3.413703 	 2.710571 	 
-3.457411 	 2.584376 	 
-3.567227 	 2.731848 	 
-3.530691 	 2.813191 	 
-3.345883 	 2.908017 	 
-3.296877 	 2.862342 	 
-3.196010 	 2.976872 	 
-3.422022 	 3.032861 	 
-3.423488 	 3.185502 	 
-3.780532 	 3.223049 	 
-3.488566 	 3.266778 	 
-3.289082 	 3.132082 	 
-3.256255 	 3.339292 	 
-3.054608 	 3.467276 	 
-3.064790 	 3.513675 	 
-3.238208 	 3.548308 	 
-3.075874 	 3.322742 	 
-3.194123 	 3.191156 	 
-2.921030 	 3.238961 	 
-3.156948 	 3.552407 	 
-3.166009 	 3.470459 	 
-3.124287 	 3.575285 	 
-3.228278 	 3.578071 	 
-3.486902 	 3.410382 	 
-3.059780 	 3.562037 	 
-3.333727 	 3.519455 	 
-3.277749 	 3.607184 	 
-3.421995 	 3.738039 	 
-3.635330 	 3.615318 	 
-3.626799 	 3.719496 	 
-3.671295 	 3.485986 	 
-3.652858 	 3.326407 	 
-3.797303 	 3.383589 	 
-3.636319 	 3.262931 	 
-3.777821 	 3.396971 	 
-3.965193 	 3.613744 	 
-3.891467 	 3.372025 	 
-4.063212 	 3.211531 	 
-4.052335 	 3.336018 	 
-4.278417 	 3.506717 	 
-4.166993 	 3.461218 	 
-4.079241 	 3.484436 	 
-3.997774 	 3.269824 	 
-3.827833 	 3.328984 	 
-3.775044 	 3.195970 	 
-3.721631 	 3.183822 	 
-3.404139 	 3.081633 	 
-3.429199 	 3.241617 	 
-3.257096 	 3.411305 	 
-3.349097 	 3.385715 	 
-3.450397 	 3.173101 	 
-3.381474 	 3.241040 	 
-3.485841 	 3.179138 	 
-3.754945 	 3.050126 	 
-3.772709 	 2.946403 	 
-3.495342 	 2.837856 	 
-3.632781 	 2.757690 	 
-3.629778 	 2.815799 	 
-3.339309 	 2.542050 	 
-3.251516 	 2.462435 	 
-3.233931 	 2.432168 	 
-3.402443 	 2.571866 	 
-3.259717 	 2.573360 	 
-3.274958 	 2.485174 	 
-2.886036 	 2.454454 	 
-2.985796 	 2.427465 	 
-3.143417 	 2.283616 	 
-3.407771 	 2.159425 	 
-3.409961 	 2.022101 	 
-3.349775 	 1.876122 	 
-3.387744 	 1.767566 	 
-3.423666 	 1.532691 	 
-3.531063 	 1.635873 	 
-3.490106 	 1.496981 	 
-3.556670 	 1.540335 	 
-3.312000 	 1.453836 	 
-3.170231 	 1.411772 	 
-3.406721 	 1.705702 	 
-3.558947 	 1.745679 	 
-3.895935 	 1.756926 	 
-3.990300 	 1.771525 	 
-4.125575 	 1.706540 	 
-3.988462 	 1.862582 	 
-3.985800 	 1.769538 	 
-3.899583 	 1.880547 	 
-3.647530 	 1.911185 	 
-3.722665 	 1.841562 	 
-3.713388 	 1.934347 	 
-3.580482 	 1.945275 	 
-3.427662 	 1.978036 	 
-3.559019 	 1.889923 	 
-3.351340 	 2.027908 	 
-3.220013 	 2.092227 	 
-3.174233 	 2.279833 	 
-3.296776 	 2.540543 	 
-3.482376 	 2.848728 	 
-3.733338 	 2.775788 	 
-3.692812 	 2.760182 	 
-3.721605 	 2.700652 	 
-3.833862 	 2.561969 	 
-3.863752 	 2.603479 	 
-3.636064 	 2.629068 	 
-3.951205 	 2.703459 	 
-3.947645 	 2.582663 	 
-4.002482 	 2.522576 	 
-3.719326 	 2.726413 	 
-3.711799 	 2.833824 	 
-3.801788 	 2.793963 	 
-3.780106 	 2.747472 	 
-3.896547 	 2.613576 	 
-3.787066 	 2.790061 	 
-3.840125 	 2.761752 	 
-3.696807 	 2.723159 	 
-3.585330 	 2.567070 	 
-3.958861 	 2.706619 	 
-4.001046 	 2.793173 	 
-3.995853 	 2.727215 	 
-3.977109 	 2.747637 	 
-4.200612 	 2.678874 	 
-4.438385 	 2.577006 	 
-4.422693 	 2.799437 	 
-4.248796 	 2.901195 	 
-4.450736 	 2.890171 	 
-4.481513 	 2.781021 	 
-4.560962 	 2.959803 	 
-4.520572 	 3.251184 	 
-4.767419 	 3.101610 	 
-4.615171 	 3.108439 	 
-4.538497 	 3.358285 	 
-4.518842 	 3.316167 	 
-4.398131 	 3.552765 	 
-4.448960 	 3.740585 	 
-4.604996 	 3.880326 	 
-4.544655 	 3.902542 	 
-4.472978 	 3.830055 	 
-4.480157 	 3.955084 	 
-4.446408 	 3.850287 	 
-4.402084 	 3.863131 	 
-4.459666 	 3.727919 	 
-4.474331 	 3.619689 	 
-4.592840 	 3.494096 	 
-4.574546 	 3.482392 	 
-4.406794 	 3.409666 	 
-4.326592 	 3.404736 	 
-4.248842 	 3.559820 	 
-4.182859 	 3.615681 	 
-3.993634 	 3.638209 	 
-3.856284 	 3.520092 	 
-4.147267 	 3.647111 	 
-4.089317 	 3.683082 	 
-4.013120 	 3.707245 	 
-4.049800 	 3.938267 	 
-3.930460 	 4.171814 	 
-4.016389 	 4.121335 	 
-4.274523 	 4.365770 	 
-4.228115 	 4.339803 	 
-4.067853 	 4.355275 	 
-3.922403 	 4.314620 	 
-4.083839 	 4.508713 	 
-4.153724 	 4.473791 	 
-4.251175 	 4.463943 	 
-4.322953 	 4.442840 	 
-4.336459 	 4.751072 	 
-4.304400 	 4.500399 	 
-4.124063 	 4.499580 	 
-4.316929 	 4.274564 	 
-4.348910 	 4.061070 	 
-4.422998 	 4.208176 	 
-4.625593 	 4.191055 	 
-4.579789 	 4.087736 	 
-4.788314 	 3.957621 	 
-4.656061 	 3.930955 	 
-4.373361 	 3.873059 	 
-4.447712 	 3.924357 	 
-4.241287 	 3.923920 	 
-4.334033 	 3.892117 	 
-4.182738 	 4.111032 	 
-4.282397 	 4.188538 	 
-3.904934 	 4.310612 	 
-3.894300 	 4.310981 	 
-3.921069 	 4.227709 	 
-3.793393 	 4.207456 	 
-3.778805 	 3.963763 	 
-3.810322 	 3.735435 	 
-3.930672 	 3.576486 	 
-4.119824 	 3.507393 	 
-4.090297 	 3.436381 	 
-4.166610 	 3.399966 	 
-4.200527 	 3.471708 	 
-4.166487 	 3.478750 	 
-4.263149 	 3.500335 	 
-4.183109 	 3.464802 	 
-4.309044 	 3.353087 	 
-4.318899 	 3.281993 	 
-4.329663 	 3.099701 	 
-4.515923 	 3.120507 	 
-4.689556 	 3.114660 	 
-4.591067 	 3.212537 	 
-4.817606 	 3.250182 	 
-4.791855 	 3.254402 	 
-4.912312 	 3.517819 	 
-4.906082 	 3.486965 	 
-4.958775 	 3.515242 	 
-4.748400 	 3.577633 	 
-4.714603 	 3.705025 	 
-4.691621 	 3.826669 	 
-4.718272 	 3.657172 	 
-4.696277 	 3.625665 	 
-4.748007 	 3.506657 	 
-4.734332 	 3.481407 	 
-4.759837 	 3.410672 	 
-4.952064 	 3.607922 	 
-4.907563 	 3.643305 	 
-5.011064 	 3.750869 	 
-4.984181 	 3.754778 	 
-5.073243 	 3.886114 	 
-4.977802 	 3.620883 	 
-5.096483 	 3.731502 	 
-5.030060 	 3.782282 	 
-4.954720 	 3.757217 	 
-4.986517 	 3.691275 	 
-4.866681 	 3.655908 	 
-5.142474 	 3.815595 	 
-5.216148 	 3.921229 	 
-5.184397 	 3.871483 	 
-4.890913 	 3.782202 	 
-4.500390 	 3.926386 	 
-4.481719 	 3.868501 	 
-4.577626 	 3.908875 	 
-4.502382 	 4.117898 	 
-4.318873 	 3.997476 	 
-4.213722 	 3.805507 	 
-4.239120 	 3.788378 	 
-4.301563 	 3.836842 	 
-4.182905 	 3.732036 	 
-4.277833 	 3.665197 	 
-4.197769 	 3.613762 	 
-4.234376 	 3.635720 	 
-4.131614 	 3.741805 	 
-4.083822 	 3.709027 	 
-4.143731 	 3.566867 	 
-4.268882 	 3.632142 	 
-4.167749 	 3.620444 	 
-4.271830 	 3.734401 	 
-4.015043 	 3.806392 	 
-3.968750 	 3.923770 	 
-3.998221 	 3.985085 	 
-3.880350 	 4.281870 	 
-4.017901 	 4.382516 	 
-4.012179 	 4.187101 	 
-4.094300 	 4.139314 	 
-4.293704 	 4.244312 	 
-4.341660 	 4.306352 	 
-4.309560 	 4.319512 	 
-4.337789 	 4.404256 	 
-4.320048 	 4.471829 	 
-4.611543 	 4.603899 	 
-4.695936 	 4.616610 	 
-4.563380 	 4.723235 	 
-4.622755 	 4.410620 	 
-4.524195 	 4.220558 	 
-4.476524 	 4.166229 	 
-4.716534 	 4.080253 	 
-4.825253 	 3.999805 	 
-4.986638 	 4.082133 	 
-4.795959 	 4.225903 	 
-4.768090 	 4.156018 	 
-4.553217 	 4.122091 	 
-4.332057 	 3.981195 	 
-4.238116 	 3.979116 	 
-4.008033 	 3.795675 	 
-4.084024 	 3.656103 	 
-4.079226 	 3.531085 	 
-4.170783 	 3.848961 	 
-4.120927 	 3.802107 	 
-4.337427 	 3.593687 	 
